,number_of_siblings,direct_admission,CCA,learning_style,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport
0,0,Yes,Sports,Visual,Female,No,69.0,14.0,2.0,16.0,10.0,91.0,22:00,6:00,private transport
1,2,No,Sports,Auditory,Female,No,47.0,4.0,19.0,16.0,7.0,94.0,22:30,6:30,private transport
2,0,Yes,None,Visual,Male,No,85.0,14.0,2.0,15.0,8.0,92.0,22:30,6:30,private transport
3,0,No,Sports,Auditory,Male,No,66.0,24.0,3.0,16.0,7.0,95.0,21:30,5:30,public transport
4,0,No,Arts,Visual,Female,No,57.0,9.0,12.0,15.0,11.0,96.0,22:30,6:30,private transport
5,2,Yes,None,Visual,Male,No,69.0,12.0,3.0,16.0,15.0,93.0,21:30,5:30,public transport
6,0,No,Sports,Visual,Male,No,76.0,20.0,2.0,15.0,3.0,97.0,21:00,5:00,public transport
7,0,No,Arts,Auditory,Male,No,57.0,20.0,7.0,15.0,15.0,98.0,22:00,6:00,private transport
8,2,Yes,Arts,Visual,Female,No,72.0,20.0,0.0,16.0,10.0,92.0,21:30,5:30,public transport
9,2,No,Sports,Auditory,Female,No,52.0,15.0,7.0,16.0,11.0,91.0,21:00,5:00,public transport
10,0,No,Sports,Visual,Male,Yes,85.0,14.0,4.0,16.0,8.0,95.0,23:00,7:00,walk
11,2,No,Sports,Visual,Male,Yes,83.0,17.0,0.0,16.0,6.0,90.0,22:30,6:30,private transport
12,0,Yes,Arts,Auditory,Female,Yes,75.0,14.0,2.0,15.0,15.0,98.0,22:30,6:30,private transport
13,0,No,Clubs,Auditory,Male,No,63.0,17.0,4.0,15.0,9.0,100.0,22:30,6:30,private transport
14,2,No,Clubs,Auditory,Female,No,42.0,5.0,19.0,15.0,13.0,96.0,21:30,5:30,public transport
15,1,No,None,Auditory,Female,Yes,70.0,26.0,2.0,15.0,10.0,100.0,22:30,6:30,private transport
16,1,No,Clubs,Auditory,Male,Yes,56.0,11.0,13.0,15.0,5.0,93.0,23:00,7:00,walk
17,1,No,Arts,Visual,Male,Yes,79.0,25.0,0.0,15.0,8.0,96.0,22:00,6:00,private transport
18,1,No,Arts,Visual,Female,Yes,59.0,1.0,27.0,15.0,9.0,92.0,23:30,6:30,private transport
19,0,No,None,Visual,Male,Yes,86.0,17.0,6.0,16.0,8.0,91.0,23:30,6:30,private transport
20,0,Yes,Clubs,Visual,Female,No,69.0,17.0,2.0,15.0,12.0,95.0,23:00,7:00,walk
21,0,No,Clubs,Auditory,Male,Yes,95.0,12.0,13.0,15.0,9.0,97.0,22:00,6:00,private transport
22,0,No,Arts,Visual,Male,No,77.0,23.0,4.0,15.0,6.0,93.0,21:00,5:00,public transport
23,1,No,Clubs,Auditory,Female,No,54.0,20.0,5.0,15.0,18.0,95.0,23:00,7:00,walk
24,2,Yes,Arts,Visual,Female,No,74.0,6.0,9.0,15.0,11.0,96.0,21:30,5:30,public transport
